sal_avg_lc1vs0_iate,lmp_cw
-463.5134964850074,3.0
-1847.612151281361,3.0
-3666.72473946462,2.0
-8612.12307443159,4.0
-2932.6937992341045,3.0
-5665.001479048335,4.0
-3441.4558967006283,3.0
-2838.081801430035,3.0
-5190.98733346411,4.0
-6679.015808655396,3.0
-21088.555720797514,2.0
-5050.337640104912,3.0
-4330.400558687103,3.0
-4328.147398870946,4.0
-227.3310448534994,4.0
-3114.376081052067,3.0
-2435.840640920914,2.0
-16801.22053844198,3.0
-6820.418310267502,1.0
-13760.996006129913,1.0
-18046.204079078823,1.0
-2321.914675021203,4.0
-13241.461328514491,4.0
-3071.1915495259636,3.0
-3206.1550970958815,4.0
-4154.286240049651,4.0
-15006.888634045421,3.0
-12021.335593992317,1.0
-2070.3202580666493,4.0
-18397.953562721777,3.0
-1889.9598735848062,3.0
-6092.6927297959355,1.0
-7701.838036392345,1.0
-4284.4747535413135,4.0
-3070.920715949705,2.0
-10186.839265724968,4.0
-4058.7263050805223,3.0
-4234.555661910752,4.0
-14841.704162924552,2.0
-4721.64894603149,4.0
-146.33265380804778,4.0
-4296.263003798098,4.0
-3968.027247398874,3.0
-5487.076290863109,1.0
-10821.70658367167,3.0
-3549.0933660013307,1.0
-11176.520391528751,1.0
-396.6216945757328,2.0
-1308.7933614894814,4.0
-4321.738163391497,1.0
-1679.3250543333627,4.0
-13825.385441420818,4.0
-9705.903919529803,4.0
-1941.5600032764141,1.0
-17026.261987989732,1.0
-5681.7423330438905,1.0
-20707.0330507153,1.0
-2715.2386861927334,3.0
-2681.990104702361,4.0
-2220.630708743636,3.0
-8836.783466818752,1.0
-4080.681291087498,1.0
-3567.7506740129465,4.0
-61.33569109278301,4.0
-11229.120037878332,4.0
-5514.657729756767,1.0
-8119.786103787981,3.0
-5653.523153591789,1.0
-3021.0413125608557,4.0
-2202.3852524104154,3.0
-13711.866136237812,1.0
-18989.895255672345,4.0
-3881.4391296977383,2.0
-8124.260113193133,4.0
-3051.0709837098966,3.0
-4554.147313564168,1.0
-2590.3474344504584,4.0
-6908.662810779986,4.0
-6718.468603575587,2.0
-20004.11782997079,2.0
-4994.176749152037,2.0
-5496.559239267672,3.0
-4302.962053225012,1.0
-5998.53189542733,1.0
-4408.9201187223625,3.0
-3362.9678428353914,3.0
-1128.8177198612436,2.0
-12334.23462936797,4.0
-12821.893128497693,3.0
-8054.551426553307,1.0
-14090.634343899204,1.0
-7617.009346591939,4.0
-2796.7528572068677,4.0
-924.3493473975323,1.0
-6411.8680722224635,2.0
-20986.804676169333,1.0
-3079.864635734356,1.0
-11235.67700380837,4.0
-3300.177699021644,1.0
-6319.144300785712,1.0
-7220.0671687471495,1.0
-3752.450922899925,1.0
-10122.392623717966,3.0
-2059.022433649012,3.0
-4420.459952515184,1.0
-3657.864961302712,1.0
-14497.581488513384,2.0
-3280.9726191401733,2.0
-10016.712359354979,1.0
-14130.109560966339,3.0
-11526.239612007645,2.0
-9627.575265321331,4.0
-10242.502781571555,2.0
-12375.299110150594,2.0
-12775.022272749107,4.0
-2962.4747961838984,1.0
-5733.944012197647,1.0
-412.16662863333113,4.0
-4173.93491283315,3.0
-4446.523276926744,4.0
-5546.2877969632045,2.0
-6644.11394764167,4.0
-20463.510461793707,3.0
-11421.98582790083,1.0
-14588.283114557973,4.0
-4296.934160502245,1.0
-15308.381580177347,2.0
-1918.6337455126777,2.0
-4904.122555143581,4.0
-3782.7126188643747,1.0
-4336.14058556478,3.0
-13019.588975640676,4.0
-4701.7201093696585,4.0
-1862.2777478242601,3.0
-1651.7998929613905,4.0
-2245.9113882877127,3.0
-5098.816434561997,3.0
-16139.686901748266,1.0
-7755.282672002702,3.0
-5407.08598283951,3.0
-4648.452389895051,4.0
-520.2555182121821,3.0
-19495.373864824534,2.0
-4733.99346998361,3.0
-5677.7093807637175,2.0
-5579.93128887941,3.0
-21197.190502766305,2.0
-14020.929154737747,3.0
-12981.516844003234,4.0
-2648.9872158292314,3.0
-16753.22068041909,3.0
-8524.629155095867,4.0
-5975.7220879643555,1.0
-9125.532586995547,4.0
-7619.046303009427,4.0
-2855.586163825934,4.0
-3025.8097797928285,4.0
-2497.1665053223387,4.0
-7184.19320209138,3.0
-2807.523195563472,2.0
-3080.2095312836773,4.0
-5494.65400086312,2.0
-1819.1616023078777,2.0
-13599.51219897612,4.0
-4661.803029523228,2.0
-4762.071432685158,3.0
-5145.8303435802845,3.0
-21717.09240546481,1.0
-3919.96400501072,4.0
-4024.1951723153115,1.0
-2932.832439347372,1.0
-4971.014798354618,3.0
-2767.8809390932056,3.0
-5493.866697337421,4.0
-3395.332213811673,1.0
-2909.152985407408,4.0
-9920.038541856884,1.0
-4852.356244613506,2.0
-5584.926950041487,3.0
-7964.870549707954,4.0
1188.2644897576415,4.0
-10620.14815116794,3.0
-1895.345256345514,4.0
-797.0658975308489,2.0
-2664.5307177555396,3.0
-14399.804235434925,4.0
-2840.982919313623,4.0
-294.82386166505677,2.0
-3326.1624383451854,4.0
-17341.001304706522,2.0
-13342.804826578384,3.0
-6679.770675387861,1.0
-10378.034609233018,4.0
-7586.03226646916,2.0
-2138.384379267469,3.0
-2962.947797366005,4.0
-9445.061591712045,4.0
-4628.850483957176,1.0
-2371.9455295516873,4.0
-2504.6642034590996,3.0
-7650.088853001282,3.0
-10049.36453443841,3.0
-16409.512754677427,3.0
-2227.154469453474,1.0
-7726.152897312457,3.0
-14604.015872915012,1.0
-6757.19229564022,2.0
-7165.033228111049,1.0
-996.4244833159037,4.0
-13969.073750347065,1.0
-11130.593381398494,4.0
-11059.005339752528,4.0
-20418.006016131425,1.0
-4505.262376376646,3.0
-2650.541807093161,4.0
-4300.282986492604,1.0
-4476.765153839628,2.0
-5152.243767786587,3.0
-2561.1345126462675,4.0
-7682.127741808819,4.0
-1111.294874819662,4.0
-4978.012447428833,3.0
-2407.823753415889,4.0
-12672.240773153246,3.0
-6232.158946257014,2.0
-18260.908580148935,1.0
-12529.22791783786,1.0
-14267.555802736057,2.0
-3386.438737468136,1.0
-2321.113462848198,2.0
-6625.325877134189,1.0
-6255.207636035608,3.0
-2312.351440555054,3.0
-4528.121104003871,2.0
-2136.02449600929,3.0
-3797.049319575912,2.0
-2549.24447734334,2.0
-1035.8719310758015,4.0
-16020.440062487536,1.0
