empl_ttl_lc2vs0_iate,unem_x0
-9.017471192249786,11.0
-9.61967810906311,12.0
-8.888460249681081,10.0
-9.725023991346584,23.0
-9.223526953560905,10.0
-9.816592033588343,21.0
-10.168953910915132,14.0
-12.777593094882313,10.0
-10.946109751742318,11.0
-9.81864233063424,2.0
-9.20604145695558,23.0
-12.174833274821353,10.0
-8.727100680617012,20.0
-10.13833918351474,4.0
-9.876879346001232,18.0
-10.098750870818735,10.0
-11.482464156191416,21.0
-9.36664555807634,18.0
-8.882778296244648,11.0
-9.491075591425286,12.0
-9.773661529379572,3.0
-10.806979095629483,14.0
-11.502484371212766,20.0
-10.820756766692915,15.0
-9.36303577799761,23.0
-11.090329675143817,17.0
-10.566436276298457,11.0
-12.373428021172355,4.0
-9.828773552568743,24.0
-9.632346997587275,2.0
-9.99944994107756,3.0
-12.471106491651504,23.0
-10.229312508183632,7.0
-10.87864092859638,21.0
-9.02126843339164,1.0
-11.029485251422436,19.0
-9.397521856454375,20.0
-9.155591950998469,19.0
-11.023932103741574,15.0
-9.396471513935985,13.0
-9.205618277247035,14.0
-9.964954190713566,10.0
-10.716810416266659,17.0
-10.123332432491273,15.0
-9.200909757716554,22.0
-9.792386472748367,1.0
-10.269910985776223,18.0
-8.796766366474326,8.0
-10.18980652394047,19.0
-9.707114129850378,20.0
-9.811818881657667,13.0
-9.590029593766667,6.0
-12.163348331632665,17.0
-9.626638301955285,8.0
-10.275839982642612,14.0
-10.584206704675292,20.0
-9.92929785273191,7.0
-9.3801771920225,6.0
-10.792492469547005,18.0
-8.488964044793173,7.0
-9.929976957334661,14.0
-10.245445066130117,17.0
-9.710914159450242,15.0
-10.16837791285629,21.0
-10.846009148558688,23.0
-9.175507122345785,6.0
-11.084580025927547,20.0
-10.393545648955406,0.0
-8.906668990916799,14.0
-9.545397255610915,17.0
-11.350070919132278,21.0
-11.197821078092343,15.0
-9.78297510397784,14.0
-9.544021756433812,0.0
-11.638677212620133,19.0
-11.257170035861432,12.0
-10.916084727332322,3.0
-11.292630191892869,23.0
-10.996237073413829,16.0
