sal_avg_lc2vs0_iate,region
-15864.205970432164,43.0
-23079.448995073464,47.0
-29980.72853019381,61.0
-24688.088857980358,56.0
-31388.18594660317,71.0
-20256.99488073739,68.0
-22349.181533099723,15.0
-26320.581606197768,15.0
-20451.587675426443,12.0
-29148.247761825245,38.0
-38144.07840543258,52.0
-34420.33433947744,49.0
-34014.21011732534,38.0
-25751.841320138214,83.0
-19017.88039845295,53.0
-37529.31505820887,62.0
-19002.558243310148,42.0
-35221.078551990446,77.0
-22080.24682744238,7.0
-40477.264354066545,60.0
-32631.5652657117,83.0
-19029.63783670187,82.0
-25133.888638097596,24.0
-35685.887295973145,22.0
-32132.181345698245,23.0
-35658.35592889748,43.0
-32906.85495893863,42.0
-20027.126965255997,4.0
-16803.655804456095,85.0
-37532.45800406932,15.0
-22628.976207526175,7.0
-34450.50266845961,47.0
-23602.634960387208,3.0
-30033.768250542795,58.0
-22920.06735976659,69.0
-31118.171474939565,51.0
-28262.53721753386,19.0
-31267.82038430414,40.0
-27346.60755211533,63.0
-27840.617332642338,30.0
-21286.919252975447,79.0
-35554.09421811897,67.0
-25175.513159132886,77.0
-29945.455455607786,67.0
-39743.946746744026,52.0
-28561.971265638414,43.0
-37970.6964729858,64.0
-20797.493768935372,18.0
-16587.56025767616,45.0
-32467.55191772751,51.0
-16797.45793660828,26.0
-36442.701887527655,14.0
-22117.836148699236,27.0
-31444.208516263105,55.0
-26732.55288146377,17.0
-22716.212583011722,17.0
-40530.33554337651,75.0
-22488.57718502459,60.0
-24790.52119555723,62.0
-30140.4015366195,22.0
-22918.0381762497,47.0
-19354.2682377322,16.0
-36142.39037368832,38.0
-20393.140922095776,5.0
-22293.437439738034,80.0
-31295.082571578605,21.0
-20101.57396774244,33.0
-19162.339039629576,51.0
-19787.295356166607,17.0
-22906.174107165858,77.0
-21052.519176178295,78.0
-38808.083536728314,33.0
-29810.166558622735,9.0
-22473.918470213834,42.0
-33507.6777368417,35.0
-31829.88030844733,64.0
-25237.679579268897,62.0
-23104.06811251522,67.0
-22081.196016998805,33.0
-37979.59917015616,79.0
-34995.76349042947,83.0
-35589.45086212165,61.0
-20697.77072366188,31.0
-32505.44856494393,66.0
-21932.254878575313,36.0
-23593.643836757004,28.0
-16964.10650257844,54.0
-40543.480172651165,39.0
-19312.65024649369,70.0
-27796.377875473594,26.0
-27500.613598387805,74.0
-24554.776336625433,2.0
-32520.850206108233,50.0
-16824.3416484617,19.0
-32587.980088671226,49.0
-33517.881293729515,54.0
-26051.360891609707,74.0
-23858.333984706318,23.0
-18213.954066905673,76.0
-25018.620571827207,58.0
-31973.254868333148,68.0
-35597.448588357314,19.0
-30801.491600067886,65.0
-18517.99639929902,47.0
-19336.999958295182,39.0
-35771.97619704387,25.0
-28047.425979226995,61.0
-26816.526757330066,50.0
-23052.68690393554,47.0
-41541.860191256535,78.0
-21184.673942052552,36.0
-31321.40901921955,71.0
-21758.202718630913,55.0
-28290.439951831286,30.0
-31379.82961711297,35.0
-17740.478161094485,54.0
-25219.908194808297,17.0
-22698.617762822665,48.0
-23497.426577564478,69.0
-36416.25610045083,65.0
-28089.385360127686,23.0
-32292.973612899194,19.0
-39394.277618404754,38.0
-27800.134995212575,5.0
-24117.97214953949,45.0
-24164.365092577507,7.0
-41387.434144411345,17.0
-22229.331040858433,64.0
-30129.403818756473,19.0
-23602.031188310528,11.0
-19842.367498940555,20.0
-29278.500201664614,53.0
-32732.504505267432,1.0
-19273.658504711166,41.0
-18726.105606477242,27.0
-27787.116077481278,70.0
-31757.031939499524,52.0
-36728.32676921324,66.0
-44654.11089912647,9.0
-18697.986172396817,36.0
-31167.304647128407,84.0
-19442.441566890473,74.0
-39858.75207249119,42.0
-25402.61090019598,45.0
-29231.153979537186,26.0
-28908.491158480218,32.0
-40519.35153550848,34.0
-19653.81535104702,56.0
-25598.366306086395,8.0
-18027.883660542495,63.0
-37025.31401092086,9.0
-18331.479572558477,34.0
-19665.172037170156,54.0
-42559.25047957989,1.0
-17812.705321016252,43.0
-24253.10511009582,61.0
-24088.141060390702,66.0
-29746.65807414698,1.0
-20911.549837833976,70.0
-21205.737461221564,17.0
-38413.41338272876,5.0
-30563.87614973414,22.0
-17554.9509269246,28.0
-34304.46579176466,24.0
-23598.64687781509,9.0
-37357.06098449345,4.0
-23786.07286480303,8.0
-37441.53275477267,54.0
-29253.647334505702,72.0
-25974.53942217343,38.0
-32316.80527833054,68.0
-21683.764758254474,50.0
-37214.43664300066,81.0
-34602.88070396159,68.0
-23168.017431625478,18.0
-21328.45391613416,25.0
-25073.88161590329,37.0
-30601.33798280394,48.0
-22358.930546578857,30.0
-34188.16782354881,50.0
-17291.565221853918,30.0
-25834.296744942858,78.0
-24794.078522268366,44.0
-18195.18159293482,52.0
-17328.86997338515,5.0
-36748.74001598495,47.0
-28816.127718355285,76.0
-19039.280325354077,68.0
-36592.665378802856,30.0
-37130.54561675689,15.0
-35748.54504375991,58.0
-32501.54779703864,74.0
-31887.030123000695,27.0
-25226.935692792173,62.0
-23638.719747154588,27.0
-38832.42820858671,2.0
-22084.45835536208,5.0
-21570.77928100913,40.0
-31469.93285184954,26.0
-16926.357318548322,18.0
-23083.903104272493,20.0
-37431.29219190116,34.0
-24142.751975698622,27.0
-16690.67322528664,56.0
-21969.360259825906,59.0
-28995.06476366699,60.0
-23057.162443222216,47.0
-26329.648204505524,4.0
-25869.66374554422,73.0
-22542.01186535376,4.0
-30503.054467971695,5.0
-26203.10556731477,14.0
-40877.11510656678,42.0
-27355.037119983746,41.0
-32674.86237774603,13.0
-33217.92480987256,74.0
-34690.533563177974,10.0
-31756.193663896724,76.0
-34319.58507517743,12.0
-34699.65862414087,44.0
-17477.277699699895,60.0
-31696.072052589036,17.0
-21364.054902770993,54.0
-21955.069615738226,23.0
-27557.185066960483,19.0
-28729.399092337357,9.0
-19361.13564400986,29.0
-32020.018217384135,52.0
-23840.055069581882,14.0
-20989.6723995314,65.0
-24357.04434394459,41.0
-26315.156063357783,61.0
-32904.38262366894,21.0
-28327.44830746739,39.0
-16741.062737124732,46.0
-34913.42439535759,80.0
-31324.465814273106,6.0
-24643.352065466468,3.0
-34167.82833060961,1.0
-26266.789805814446,13.0
-40553.43342052563,66.0
-39023.01614091757,40.0
-36567.2246080028,40.0
-23045.762129317052,41.0
-27610.43509671006,9.0
-25269.50389083322,23.0
-33901.52563773919,51.0
-35525.0903915421,17.0
-19869.85913209709,39.0
-43880.42596083478,45.0
-17493.643472272037,81.0
-26581.1086796325,33.0
-22466.613510130293,35.0
-35441.21780563553,51.0
-32655.39258897854,53.0
-37242.50323138517,59.0
-38585.44062505931,11.0
-19131.326591545007,25.0
-43380.470754980095,25.0
-32880.42518294083,49.0
-40802.24674226691,62.0
-38771.48167544647,58.0
-34235.08868136223,17.0
-30164.551624088344,21.0
-37257.14820319899,25.0
-34096.64847562289,75.0
-28572.0951926436,8.0
-20031.704229482773,6.0
-17498.706842812087,29.0
-28519.303670002693,69.0
-40461.72755278963,18.0
-22179.27617083556,83.0
-24200.790358936098,10.0
-33315.88489321414,78.0
-20152.96896509908,64.0
-23593.03357690076,81.0
-28760.50077887935,85.0
-19935.489083635875,69.0
-33934.29700068016,35.0
-23567.84862945768,72.0
-23697.814544547284,67.0
-24488.30029777404,67.0
-20015.435117656016,33.0
-23286.965548322052,40.0
-32805.474930274606,66.0
-31607.855194685333,78.0
-34124.521260430665,44.0
-23723.76176099517,27.0
-23422.412450932483,35.0
-25040.277629889293,17.0
-33284.63070269166,19.0
-20922.17392635704,32.0
-37974.994194530955,23.0
-22996.786836439438,22.0
-25194.309862873713,31.0
-26495.608471545682,27.0
-18967.243459742313,58.0
-32906.52791241366,76.0
-15595.923276975822,30.0
-26006.708949388456,23.0
-19949.88646185769,68.0
-24149.701223659205,43.0
-28827.05722709356,24.0
-37558.16132703054,51.0
-23615.794395418707,26.0
-22903.99275995343,51.0
-23971.32061310987,42.0
-34951.024234676224,48.0
-24856.34655788912,47.0
-30712.495340904294,38.0
-22083.471784304882,51.0
-16280.555911134583,66.0
-38690.19302361862,20.0
-24820.84939391016,10.0
-22265.500856434457,68.0
-39643.53726013872,12.0
-32386.71273936421,79.0
-18149.42113489645,71.0
-34614.62013870834,19.0
-22935.569703250032,21.0
-31917.765575666464,38.0
-17131.56329754962,15.0
-36592.81123959896,63.0
-17667.16735614381,28.0
-27048.6478713322,49.0
-28336.851488953493,85.0
-24592.20760826658,25.0
-19188.704671069718,28.0
-25142.454828780523,63.0
-21452.20174168603,20.0
-15914.020896727838,18.0
-27092.73638242851,85.0
-36393.784425947335,24.0
-34847.00440868997,19.0
-26545.55701991854,48.0
-23739.775301909787,24.0
-22342.753090209582,17.0
-21275.32834713556,30.0
-17776.011586303943,72.0
-32699.239947130725,20.0
-25787.331841825657,79.0
-21089.134052159174,40.0
-36801.13288991453,3.0
-35213.37167934695,83.0
-33118.46824460873,14.0
-29700.44781894699,84.0
-26215.04794754248,66.0
-31888.81380557554,71.0
-25475.709768191155,12.0
-24141.145470035863,9.0
-35775.20049015316,52.0
-18902.99382113651,67.0
-16498.136481589532,34.0
-31760.081319548146,17.0
-24126.41647285673,30.0
-25498.990501211236,39.0
-21843.888044807143,72.0
-27028.79672183872,66.0
-19560.943119344756,24.0
-25950.31117585249,37.0
-24903.76837979076,79.0
-40442.09411025612,48.0
-31096.71863844701,67.0
-33587.2382435644,39.0
-18177.856802325783,25.0
-23490.06897353833,71.0
-26609.487556364526,50.0
-35306.99695054395,65.0
-38560.36890862882,31.0
-25321.20725820155,6.0
-23043.52428684503,79.0
-18908.34259162932,69.0
-35490.4424064608,17.0
-37977.53488233023,61.0
-24447.743496203802,48.0
-23505.049209230132,5.0
-28725.566545031943,3.0
-36703.234259337114,73.0
-36384.350482469665,76.0
-25417.081983871296,65.0
-18544.258397917434,13.0
-24935.78975201024,42.0
-19358.182194575453,62.0
-16426.5108327767,47.0
-25996.728331803366,11.0
-36927.85309459378,51.0
-30611.639949824807,35.0
-25568.945587020487,84.0
-34975.04214417301,84.0
-18758.109270040353,37.0
-43304.84816584768,25.0
-36733.586459419654,63.0
-39748.17998963261,17.0
-30517.587392638077,73.0
-26544.745542719662,40.0
-18989.965225829106,10.0
-24818.528811764227,30.0
-22585.01588019693,74.0
-31550.863171574838,80.0
-17951.441319244936,15.0
-34144.85211126547,79.0
-27017.131212758766,36.0
-17043.06104528744,5.0
-34028.115807072536,53.0
-29824.886552645086,13.0
-21235.875460348274,60.0
-22176.502183178305,55.0
-15904.44685903991,66.0
-22958.127842095495,77.0
-18733.464046383644,80.0
-32207.338668108026,39.0
-36009.74527077329,50.0
-31639.333201395566,76.0
-25169.201853262282,36.0
-17778.667904258196,4.0
-25022.1984939733,36.0
-32416.170940516007,8.0
-29447.473777423453,41.0
-23264.264798890188,19.0
-35071.65277572242,36.0
-26695.416927939208,4.0
-38356.62936951933,54.0
-25771.744349390792,71.0
-18148.49067014993,2.0
-22333.408519963235,19.0
-23878.4024652924,41.0
-36709.10323187383,68.0
-19294.667248390626,7.0
-18540.288144167203,62.0
-27078.28149381694,33.0
-24037.370747841,41.0
-30892.279915720494,25.0
