sal_8_lc2vs0_iate,emplx2_3
-5247.612371911615,2.0
-5936.081268004896,2.0
-18919.441037239645,2.0
-14707.782499432618,2.0
-16469.15064708127,2.0
-12774.949402169912,2.0
-12053.51819014192,2.0
-14026.353314398888,2.0
-13983.383125352026,2.0
-13134.478561131988,2.0
-29884.652334278326,2.0
-17681.150924771908,2.0
-16609.611673723204,2.0
-11969.49722271879,2.0
-5950.023047619555,2.0
-21467.992990178907,2.0
-11945.720340139294,2.0
-23984.30313998409,2.0
-14270.983694386447,2.0
-31714.98443543093,1.0
-16666.270956639855,2.0
-9190.945167600374,2.0
-16119.659878602994,2.0
-17563.439508625903,2.0
-12709.421738549398,1.0
-17881.349442808176,2.0
-21270.396143409,2.0
-10635.591001845487,2.0
-6349.551233765742,2.0
-25672.877520447037,2.0
-6822.170593997485,2.0
-15317.612865724008,2.0
-7312.44221386747,2.0
-16567.308543593586,2.0
-10771.937303749975,2.0
-23206.795175427615,2.0
-11427.513352134136,2.0
-16042.078033573867,2.0
-17658.06812471561,2.0
-11169.2081233098,2.0
-11499.894941943663,2.0
-13532.379106039434,2.0
-10474.096448959792,2.0
-7399.015417263921,2.0
-21831.303184256176,2.0
-12068.484378545403,2.0
-16817.388918640918,1.0
-8416.27347501714,2.0
-9300.107912582052,2.0
-12865.209168249246,2.0
-7081.880304338444,2.0
-15828.948926235358,2.0
-10728.199476209445,2.0
-13929.317983234097,2.0
-13986.61467723364,3.0
-8806.614629841293,2.0
-31091.26887296683,2.0
-12631.794461756977,2.0
-10562.048830745493,2.0
-19426.966405927375,2.0
-13447.30051696412,1.0
-12487.276177898975,2.0
-16920.067990057407,2.0
-12532.962823379248,2.0
-9913.747962433377,2.0
-13732.531740885566,2.0
-13666.649579562232,2.0
-8937.991690188243,2.0
-11118.370337633276,2.0
-9831.196112755113,2.0
-10573.756448907983,2.0
-28880.51804557306,2.0
-10686.25073508826,2.0
-13103.616710817836,2.0
-17959.01024925051,2.0
-10071.496266680995,1.0
-13782.46557292678,2.0
-16474.89483920907,2.0
-15764.240231078948,2.0
-28745.982583084144,2.0
-17947.46642392244,2.0
-21472.93628477188,2.0
-6541.960065761239,2.0
-11658.795107039547,2.0
-7148.046106287589,2.0
-10323.71450867237,2.0
-9269.57857345864,2.0
-29115.64469282887,2.0
-9615.117265710232,2.0
-8861.114745064173,2.0
-17716.601925630002,2.0
-16340.103061847669,2.0
-14684.070456690177,2.0
-7644.1290129136205,2.0
-17645.626288756564,2.0
-21284.617047466774,2.0
-13330.575371410048,2.0
-12540.192397054574,2.0
-9402.80718760075,2.0
-9795.936310623623,2.0
-15211.71061492783,2.0
-18920.7873761804,2.0
-14363.490183207621,2.0
-3632.2607362219505,2.0
-11975.5970092164,2.0
-20815.78051022569,2.0
-14272.336117167273,2.0
-10667.303216113622,2.0
-14295.430723840464,2.0
-30380.561068380193,2.0
