sal_avg_lc1vs0_iate,sect_al
-463.5134964850074,10.07365179352578
-1847.612151281361,16.80156397820652
-3666.72473946462,14.29366380159172
-8612.12307443159,17.60447013640254
-2932.6937992341045,16.34262365410707
-5665.001479048335,14.250867743380557
-3441.4558967006283,5.584227618370866
-2838.081801430035,10.884169853481596
-5190.98733346411,6.876545722211219
-6679.015808655396,8.022938998903351
-21088.555720797514,14.375711469500713
-5050.337640104912,9.333905091584258
-4330.400558687103,5.108505545983842
-4328.147398870946,13.760349627811008
-227.3310448534994,16.239913412438217
-3114.376081052067,14.081589276478278
-2435.840640920914,11.544087762845813
-16801.22053844198,9.185204750144113
-6820.418310267502,16.317502705010668
-13760.996006129913,17.477112864169058
-18046.204079078823,15.716579181964525
-2321.914675021203,8.994935032749678
-13241.461328514491,5.218827226790301
-3071.1915495259636,14.288659287211557
-3206.1550970958815,15.692530474215395
-4154.286240049651,7.913015801979398
-15006.888634045421,6.142786405873864
-12021.335593992317,14.147604730552498
-2070.3202580666493,16.176601459739913
-18397.953562721777,11.000470633430488
-1889.9598735848062,14.05652253986378
-6092.6927297959355,8.24275834530662
-7701.838036392345,7.728752120030903
-4284.4747535413135,5.019228465525159
-3070.920715949705,11.91035613150846
-10186.839265724968,7.770074417325333
-4058.7263050805223,17.951867968058835
-4234.555661910752,5.132740986437116
-14841.704162924552,8.901953679004293
-4721.64894603149,12.325678788631842
-146.33265380804778,14.446609179035548
-4296.263003798098,12.595382164037684
-3968.027247398874,6.06882738323647
-5487.076290863109,13.189723668675953
-10821.70658367167,14.652281510498652
-3549.0933660013307,17.368179616295293
-11176.520391528751,14.137774779290114
-396.6216945757328,17.529853879408723
-1308.7933614894814,7.863236197357244
-4321.738163391497,11.61972469445422
-1679.3250543333627,17.026004518860216
-13825.385441420818,8.363464107554325
-9705.903919529803,10.92354258696166
-1941.5600032764141,12.776723628408444
-17026.261987989732,8.236443850825474
-5681.7423330438905,5.637380383048353
-20707.0330507153,16.86852506771081
-2715.2386861927334,7.825027595307594
