sal_avg_lc1vs0_iate,region
-463.5134964850074,43.0
-1847.612151281361,47.0
-3666.72473946462,61.0
-8612.12307443159,56.0
-2932.6937992341045,71.0
-5665.001479048335,68.0
-3441.4558967006283,15.0
-2838.081801430035,15.0
-5190.98733346411,12.0
-6679.015808655396,38.0
-21088.555720797514,52.0
-5050.337640104912,49.0
-4330.400558687103,38.0
-4328.147398870946,83.0
-227.3310448534994,53.0
-3114.376081052067,62.0
-2435.840640920914,42.0
-16801.22053844198,77.0
-6820.418310267502,7.0
-13760.996006129913,60.0
-18046.204079078823,83.0
-2321.914675021203,82.0
-13241.461328514491,24.0
-3071.1915495259636,22.0
-3206.1550970958815,23.0
-4154.286240049651,43.0
-15006.888634045421,42.0
-12021.335593992317,4.0
-2070.3202580666493,85.0
-18397.953562721777,15.0
-1889.9598735848062,7.0
-6092.6927297959355,47.0
-7701.838036392345,3.0
-4284.4747535413135,58.0
-3070.920715949705,69.0
-10186.839265724968,51.0
-4058.7263050805223,19.0
-4234.555661910752,40.0
-14841.704162924552,63.0
-4721.64894603149,30.0
-146.33265380804778,79.0
-4296.263003798098,67.0
-3968.027247398874,77.0
-5487.076290863109,67.0
-10821.70658367167,52.0
-3549.0933660013307,43.0
-11176.520391528751,64.0
-396.6216945757328,18.0
-1308.7933614894814,45.0
-4321.738163391497,51.0
-1679.3250543333627,26.0
-13825.385441420818,14.0
-9705.903919529803,27.0
-1941.5600032764141,55.0
-17026.261987989732,17.0
-5681.7423330438905,17.0
-20707.0330507153,75.0
-2715.2386861927334,60.0
-2681.990104702361,62.0
-2220.630708743636,22.0
-8836.783466818752,47.0
-4080.681291087498,16.0
-3567.7506740129465,38.0
-61.33569109278301,5.0
-11229.120037878332,80.0
-5514.657729756767,21.0
-8119.786103787981,33.0
-5653.523153591789,51.0
-3021.0413125608557,17.0
-2202.3852524104154,77.0
-13711.866136237812,78.0
-18989.895255672345,33.0
-3881.4391296977383,9.0
-8124.260113193133,42.0
-3051.0709837098966,35.0
-4554.147313564168,64.0
-2590.3474344504584,62.0
-6908.662810779986,67.0
-6718.468603575587,33.0
-20004.11782997079,79.0
-4994.176749152037,83.0
-5496.559239267672,61.0
-4302.962053225012,31.0
-5998.53189542733,66.0
-4408.9201187223625,36.0
-3362.9678428353914,28.0
-1128.8177198612436,54.0
-12334.23462936797,39.0
-12821.893128497693,70.0
-8054.551426553307,26.0
-14090.634343899204,74.0
-7617.009346591939,2.0
-2796.7528572068677,50.0
-924.3493473975323,19.0
-6411.8680722224635,49.0
-20986.804676169333,54.0
-3079.864635734356,74.0
-11235.67700380837,23.0
-3300.177699021644,76.0
-6319.144300785712,58.0
-7220.0671687471495,68.0
-3752.450922899925,19.0
-10122.392623717966,65.0
-2059.022433649012,47.0
-4420.459952515184,39.0
-3657.864961302712,25.0
-14497.581488513384,61.0
-3280.9726191401733,50.0
-10016.712359354979,47.0
-14130.109560966339,78.0
-11526.239612007645,36.0
-9627.575265321331,71.0
-10242.502781571555,55.0
-12375.299110150594,30.0
-12775.022272749107,35.0
-2962.4747961838984,54.0
-5733.944012197647,17.0
-412.16662863333113,48.0
-4173.93491283315,69.0
-4446.523276926744,65.0
-5546.2877969632045,23.0
-6644.11394764167,19.0
-20463.510461793707,38.0
-11421.98582790083,5.0
-14588.283114557973,45.0
-4296.934160502245,7.0
-15308.381580177347,17.0
-1918.6337455126777,64.0
-4904.122555143581,19.0
-3782.7126188643747,11.0
-4336.14058556478,20.0
-13019.588975640676,53.0
-4701.7201093696585,1.0
-1862.2777478242601,41.0
-1651.7998929613905,27.0
-2245.9113882877127,70.0
-5098.816434561997,52.0
-16139.686901748266,66.0
-7755.282672002702,9.0
-5407.08598283951,36.0
-4648.452389895051,84.0
-520.2555182121821,74.0
-19495.373864824534,42.0
-4733.99346998361,45.0
-5677.7093807637175,26.0
-5579.93128887941,32.0
-21197.190502766305,34.0
-14020.929154737747,56.0
-12981.516844003234,8.0
-2648.9872158292314,63.0
-16753.22068041909,9.0
-8524.629155095867,34.0
-5975.7220879643555,54.0
-9125.532586995547,1.0
-7619.046303009427,43.0
-2855.586163825934,61.0
-3025.8097797928285,66.0
-2497.1665053223387,1.0
-7184.19320209138,70.0
-2807.523195563472,17.0
-3080.2095312836773,5.0
-5494.65400086312,22.0
-1819.1616023078777,28.0
-13599.51219897612,24.0
-4661.803029523228,9.0
-4762.071432685158,4.0
-5145.8303435802845,8.0
-21717.09240546481,54.0
-3919.96400501072,72.0
-4024.1951723153115,38.0
-2932.832439347372,68.0
-4971.014798354618,50.0
-2767.8809390932056,81.0
-5493.866697337421,68.0
-3395.332213811673,18.0
-2909.152985407408,25.0
-9920.038541856884,37.0
-4852.356244613506,48.0
-5584.926950041487,30.0
-7964.870549707954,50.0
1188.2644897576415,30.0
-10620.14815116794,78.0
-1895.345256345514,44.0
-797.0658975308489,52.0
-2664.5307177555396,5.0
-14399.804235434925,47.0
-2840.982919313623,76.0
-294.82386166505677,68.0
-3326.1624383451854,30.0
-17341.001304706522,15.0
-13342.804826578384,58.0
-6679.770675387861,74.0
-10378.034609233018,27.0
-7586.03226646916,62.0
-2138.384379267469,27.0
-2962.947797366005,2.0
-9445.061591712045,5.0
-4628.850483957176,40.0
-2371.9455295516873,26.0
-2504.6642034590996,18.0
-7650.088853001282,20.0
-10049.36453443841,34.0
-16409.512754677427,27.0
-2227.154469453474,56.0
-7726.152897312457,59.0
-14604.015872915012,60.0
-6757.19229564022,47.0
-7165.033228111049,4.0
-996.4244833159037,73.0
-13969.073750347065,4.0
-11130.593381398494,5.0
-11059.005339752528,14.0
-20418.006016131425,42.0
-4505.262376376646,41.0
-2650.541807093161,13.0
-4300.282986492604,74.0
-4476.765153839628,10.0
-5152.243767786587,76.0
-2561.1345126462675,12.0
-7682.127741808819,44.0
-1111.294874819662,60.0
-4978.012447428833,17.0
-2407.823753415889,54.0
-12672.240773153246,23.0
-6232.158946257014,19.0
-18260.908580148935,9.0
-12529.22791783786,29.0
-14267.555802736057,52.0
-3386.438737468136,14.0
-2321.113462848198,65.0
-6625.325877134189,41.0
-6255.207636035608,61.0
-2312.351440555054,21.0
-4528.121104003871,39.0
-2136.02449600929,46.0
-3797.049319575912,80.0
-2549.24447734334,6.0
-1035.8719310758015,3.0
-16020.440062487536,1.0
-7332.044911711549,13.0
-12498.66701947276,66.0
-7674.683263877325,40.0
-5373.937467221858,40.0
-686.137566213617,41.0
-2780.854156387919,9.0
-7917.312018926485,23.0
-15153.016100497083,51.0
-2322.729195925518,17.0
-13659.446268026306,39.0
-6929.011200109049,45.0
-4178.243186792879,81.0
-6760.580360149944,33.0
129.02587047169982,35.0
-3188.345695458882,51.0
-9516.467201487894,53.0
-12148.93119437116,59.0
-17467.40414672208,11.0
-99.55215731127907,25.0
-9954.11008771275,25.0
-12340.991839544762,49.0
-22115.340534184284,62.0
-13646.64469581677,58.0
-19331.30150918461,17.0
-5221.6323170013475,21.0
-9035.514445965619,25.0
-5633.825468059045,75.0
-3150.3597379570047,8.0
61.60349985900643,6.0
-809.360007663577,29.0
-5088.28188985917,69.0
-9845.008909172204,18.0
-2325.176446851033,83.0
-1401.3863216818309,10.0
-5462.31451767597,78.0
-9208.440692572243,64.0
-12060.361812287852,81.0
-1877.1333062559243,85.0
-7939.82181647421,69.0
-4289.047389677109,35.0
-4329.475988185806,72.0
-6057.285302540812,67.0
-12858.643002236695,67.0
-3233.4681086029664,33.0
-15721.164024572412,40.0
-4019.193578120885,66.0
-4551.624874001083,78.0
-12667.710940098936,44.0
-7407.421165954018,27.0
-791.8595690477723,35.0
-516.7286420895098,17.0
-4374.179819366851,19.0
-9612.92341891613,32.0
-3124.1194900100418,23.0
-4393.087762808688,22.0
-9281.123888493767,31.0
-13369.916645841364,27.0
-332.6247287640005,58.0
-4420.848347727797,76.0
843.4764231047989,30.0
-4501.652017824427,23.0
-14574.756331154886,68.0
-5898.811925904288,43.0
-10915.629957207562,24.0
-3393.5474613805545,51.0
-1790.2938023615307,26.0
-6779.621904868418,51.0
-11186.295105876994,42.0
-2072.3387249033276,48.0
-4728.134292884336,47.0
-2464.5444549670647,38.0
-4890.754711351303,51.0
-1975.4436891613839,66.0
-14353.168442913953,20.0
-5248.791732272068,10.0
-3258.6598438061505,68.0
-14484.535206355444,12.0
-13719.420613139439,79.0
418.7795160312029,71.0
-5820.403460492718,19.0
-3923.809481553684,21.0
-6012.458123978594,38.0
-1908.3100156375783,15.0
-9083.872791494341,63.0
-998.0694382643387,28.0
-6671.742299915237,49.0
-12379.881014613526,85.0
-4216.219277321648,25.0
-6693.013615916123,28.0
-11071.2085680109,63.0
-2478.543754149247,20.0
-488.41337405113256,18.0
-13691.72052806198,85.0
-14128.533776318436,24.0
-15912.337258743928,19.0
-6756.458907506438,48.0
-8183.0094009155855,24.0
-9451.040630731291,17.0
93.47101372796942,30.0
-915.5316926913894,72.0
-13203.22852541862,20.0
-8542.443471992332,79.0
-11755.0004357309,40.0
-10728.017803723189,3.0
-4820.271094648851,83.0
-5014.965581160817,14.0
-5736.636853917386,84.0
-12197.972383109241,66.0
-4411.591303861553,71.0
-8965.257763357766,12.0
-4581.8077661122525,9.0
-5883.638922952283,52.0
-1220.4746276351075,67.0
785.5890665439154,34.0
-4930.239459270649,17.0
-7355.310471452321,30.0
-6842.912065521707,39.0
-8311.348487358668,72.0
-15470.406179081358,66.0
-1384.8947845838256,24.0
-5625.061268035522,37.0
-5395.67485102924,79.0
-15147.025265905453,48.0
-2822.5401888264714,67.0
-6903.310919547792,39.0
-423.39900864083916,25.0
-3055.200210756786,71.0
-13555.96118554968,50.0
-3565.720696760327,65.0
-2868.266246380026,31.0
-4596.493203592747,6.0
-6738.540313802257,79.0
-6028.078368799315,69.0
-14046.276332787982,17.0
-5652.72043934389,61.0
-6392.651848260659,48.0
-11651.224493031139,5.0
-5094.066725552313,3.0
-3774.5193787867847,73.0
-11254.285114087921,76.0
-4794.233587543227,65.0
-2693.174591155995,13.0
-5392.059907346632,42.0
-986.6002414598254,62.0
-281.5467512306059,47.0
-9157.941354466157,11.0
-13578.040745633969,51.0
-7487.506792336426,35.0
-3109.370698012696,84.0
-3913.2121345586183,84.0
-14162.201534433103,37.0
-12089.657537156761,25.0
-4952.782302663369,63.0
-21019.058765765585,17.0
-14377.802785873375,73.0
-1768.7706594950723,40.0
-13032.786842559999,10.0
-1578.4339274905033,30.0
-2951.37007013805,74.0
-15797.855253188938,80.0
-4429.474466530128,15.0
-4838.923590867562,79.0
-4005.9592596586826,36.0
-2919.7176323197973,5.0
-4806.106171835136,53.0
-3854.8802919431782,13.0
-5716.18291391208,60.0
-1170.2571990466822,55.0
436.6982479815165,66.0
-3219.77662664081,77.0
-1996.0484140403519,80.0
-18129.880000110792,39.0
-18359.97289274449,50.0
-8083.324319560273,76.0
-1210.0758095611673,36.0
-8592.231622147412,4.0
-5871.968701092864,36.0
-11569.19034774857,8.0
-6968.749078568313,41.0
-3664.679630900387,19.0
-5548.876307371849,36.0
-5627.451770555056,4.0
-8283.528353936688,54.0
-7160.991087807062,71.0
-310.37168021049587,2.0
-1435.8175747952191,19.0
-7042.406618480248,41.0
