empl_ttl_lc1vs0_iate,sex
-4.948054261668859,2.0
-4.578111859088714,2.0
-3.230183773696281,2.0
1.3276327758599846,1.0
-5.504426802571932,2.0
0.19740218502416718,1.0
-3.7681734953965305,2.0
-4.058591155271899,2.0
-0.6127430727358064,1.0
-1.3866245580209615,2.0
5.684290253260674,1.0
-3.9245604592515027,2.0
-4.249977880810943,2.0
-2.7508514322438367,2.0
-5.343410681848838,2.0
-5.859476615922035,2.0
-3.560316948943589,2.0
3.9605823782354577,1.0
-0.2781985129849933,1.0
1.2274432011773224,1.0
3.8812397465118122,1.0
-3.3427260873530398,2.0
4.9152560967964956,1.0
-4.71026634939384,2.0
-4.215989504466777,2.0
-5.861797327600664,2.0
3.195668435079152,1.0
5.222338304708721,1.0
-2.9020687387710535,2.0
4.280266659497552,1.0
-3.7225476618861912,2.0
-3.486853278044228,2.0
-1.3057265460516698,2.0
-3.2785683578171336,2.0
-3.342427794012711,2.0
1.3763720464244351,1.0
-4.010554469233904,2.0
-2.6537893485242208,2.0
4.728494152405938,1.0
-2.9711600162350447,2.0
-5.293375960119727,2.0
-5.378046175097144,2.0
-2.9478466195738484,2.0
-2.616589569519482,2.0
-1.1791202450774634,1.0
-4.311464470350409,2.0
-0.12053856032070254,1.0
-5.553943871730289,2.0
-2.5097217097954987,2.0
-2.955066446938946,2.0
-3.129404636961479,2.0
1.1985676546152861,1.0
1.93558641024354,1.0
-4.196079625440849,2.0
6.449172312966962,1.0
-3.0829091482839517,2.0
4.891619174263027,1.0
-4.391780743250741,2.0
-3.4463184400290006,2.0
-4.47581358746775,2.0
1.3776060924220008,1.0
-1.9133030567665479,2.0
-6.274316227690827,2.0
-4.837873860188848,2.0
3.386321604051256,1.0
-3.4899290176169884,2.0
1.63337041131164,1.0
-1.4524888182921771,2.0
-3.4897655460277974,2.0
-3.8998745555076644,2.0
5.436816063188527,1.0
3.7496934542546665,1.0
-4.248230258791732,2.0
0.31380723920020004,1.0
-4.149337294975304,2.0
-2.4455956673903776,2.0
-3.5938970168129813,2.0
0.12389493903963,1.0
1.0171740108050566,1.0
6.390183591814025,1.0
-3.450569901201286,2.0
-3.8400120684612906,2.0
-4.406178341738958,2.0
-2.9490994516832165,2.0
-1.9759975006251942,2.0
-3.1223764769021933,2.0
-3.9963374702913472,2.0
1.3313914137511298,1.0
5.8144092617826555,1.0
-0.6622089022793183,2.0
3.849187277029741,1.0
0.09658460201370933,1.0
-4.6117175715266345,2.0
-4.449272870511718,2.0
-2.736970506720067,2.0
7.193584233035986,1.0
-3.8302579895709554,2.0
3.20544308579557,1.0
-2.5526540996384313,2.0
-2.186318953991026,2.0
-1.2875165043921646,2.0
-4.0054989881365115,2.0
-0.09933864261648351,1.0
-4.973522661912383,2.0
-1.5365758327191974,2.0
-3.9842499680379637,2.0
3.976228403146549,1.0
-3.481802111213266,2.0
2.0519123979685157,1.0
1.209600134149532,1.0
3.686375956199354,1.0
-0.7506920493004086,1.0
2.7223543517259374,1.0
3.47577607850244,1.0
2.347982875400124,1.0
-3.835688449799336,2.0
-2.294756710314047,2.0
-5.388084664678197,2.0
-2.5804622695616173,2.0
-5.825823605192124,2.0
-2.945849181596061,2.0
-3.3863182264720795,2.0
5.302877003082863,1.0
1.9493689406136316,1.0
4.7848177038834745,1.0
-3.422833772512836,2.0
2.0196300685915873,1.0
-4.789290297255821,2.0
-3.1225787908962204,2.0
-2.7542017409301556,2.0
-2.1347439539077815,2.0
3.0914216505186207,1.0
-4.795990592082758,2.0
-4.998245575217604,2.0
-4.278209409956684,2.0
-4.092050333249997,2.0
-3.2722100341891887,2.0
2.4438923980872174,1.0
-2.5676675061993346,1.0
-0.39525542153435855,1.0
-2.2361339405144123,2.0
-3.3962974403455943,2.0
4.671032224318577,1.0
-2.583898500732019,2.0
-2.990697211185264,2.0
-2.0414398987498465,2.0
4.806125932089195,1.0
6.748201447424043,1.0
3.7894679019779454,1.0
-3.3856079351713264,2.0
2.075202057958157,1.0
2.5151356119067643,1.0
-1.7045473165222553,2.0
-1.736027195568866,1.0
1.9544020158678403,1.0
-4.195100790939596,2.0
-2.9251161280755014,2.0
-3.9771125514851056,2.0
0.7804339915306638,1.0
-4.196207775703746,2.0
-5.963996222178753,2.0
-2.9154894476629343,2.0
-4.819217837848504,2.0
0.6434907489571391,1.0
-2.2451766695921673,2.0
-5.40333234578869,2.0
-1.8240732902348062,2.0
5.839423864447731,1.0
-3.8809808342433607,2.0
-2.935752513403604,2.0
-3.4082253853417237,2.0
-1.9240905170665115,2.0
-6.525376664134832,2.0
-2.8982356651317174,2.0
-3.768901305765833,2.0
-3.657351657002427,2.0
1.1054301236187065,1.0
-3.9635794062600826,2.0
-0.6575358761725973,1.0
-1.0549530169501642,1.0
-4.859357644660357,2.0
2.695967769142177,1.0
-3.789473198961394,2.0
-5.312958761372919,2.0
-3.001068757194064,2.0
1.8580197523462871,1.0
-3.3267697586820573,2.0
-4.710930827280663,2.0
-5.672662178698555,2.0
3.119279809118429,1.0
1.2334641111728715,1.0
-1.5464767859255493,2.0
0.8846024877090359,1.0
0.5483731527076205,1.0
-3.5872585767655596,2.0
-6.129132733428465,2.0
2.5860555860194645,1.0
-3.0064827361830364,2.0
-5.360154867782068,2.0
-3.275435829628541,2.0
-0.12242576165035746,1.0
-1.8321317005955065,1.0
6.778383269599431,1.0
-3.430757263444404,2.0
0.3988516534721058,1.0
3.7985075210144816,1.0
-0.35320120747916817,1.0
-0.06712805079224937,1.0
-4.69465637484021,2.0
5.4014671529013665,1.0
1.9933471088557306,1.0
2.2576281182160307,1.0
5.3328510216888105,1.0
-3.5999264755149136,2.0
-6.02580791672063,2.0
-4.087424262173296,2.0
-4.456120488328172,2.0
-2.098928599130648,2.0
-4.7293451343931,2.0
-0.8199923672674787,1.0
-3.542253925406978,2.0
-2.0795152595447846,2.0
-3.5123309224653827,2.0
5.42985163057913,1.0
-1.7224151203419693,2.0
6.297568714241242,1.0
5.497706146338965,1.0
3.0398059508032,1.0
-3.2829535308042677,2.0
-4.6963646787342235,2.0
-1.8270437227196439,2.0
-1.3276463083995922,2.0
-5.096880742352143,2.0
-3.1109981298720415,2.0
-3.8806701846481606,2.0
-4.229016315321572,2.0
-5.167740311578169,2.0
-4.617690634643842,2.0
3.61852053702568,1.0
-0.34936895270848556,1.0
-0.33789798830967177,1.0
-1.562689292787315,1.0
-4.150981198349912,2.0
-5.312215122395466,2.0
-4.0104100369286115,2.0
-1.1677762421445999,2.0
2.7536013456969846,1.0
-5.238522494668645,2.0
5.7820500802829775,1.0
-2.9990774924327823,1.0
-1.5436167052238092,2.0
-2.253680882207651,2.0
-5.492204650527715,2.0
-5.338695764190625,2.0
0.40992576299615324,1.0
0.272103813581142,1.0
2.8716747633084747,1.0
-4.618145775944324,2.0
-0.6383058514248776,1.0
1.2733468422469771,1.0
6.077324551980071,1.0
1.4980953252309934,1.0
5.6278964487955445,1.0
-2.4331686039356297,2.0
-1.2111431572426774,1.0
-2.71974968245827,2.0
-3.25652839817716,2.0
-5.498342312152808,2.0
-4.512683429882857,2.0
-1.2148151437657715,1.0
-0.7286531190889631,1.0
-3.8195246641595273,2.0
-5.192844139742523,2.0
-3.908385187422441,2.0
2.4218161281265935,1.0
3.3886111716437974,1.0
-4.397670991452435,2.0
1.937040029338538,1.0
-3.202072738343905,2.0
-3.9989631905078067,2.0
-1.937203117539109,2.0
4.407895465923728,1.0
-3.6213206799207627,2.0
6.50490757232947,1.0
-6.140164103639021,2.0
-3.397623742570224,2.0
2.312671255111637,1.0
0.6156473137367242,1.0
-4.508205524360792,2.0
-5.639502430004038,2.0
-3.5012230893579055,2.0
1.747398623254672,1.0
-6.05360458925263,2.0
-2.011956465865725,2.0
0.6994977974461709,1.0
3.614430014115727,1.0
-4.391876464007556,2.0
-3.5505560028175864,2.0
-5.43002291255682,2.0
-3.050202636778661,2.0
6.860859059223523,1.0
-1.3674241686841095,2.0
2.381263002286357,1.0
-5.6440124312781155,2.0
-3.8127222396058302,2.0
-0.9817240845532982,1.0
1.7797336484081074,1.0
-5.3324492497838945,2.0
-2.6564966269549344,2.0
-5.428848085752703,2.0
-2.75491906747549,2.0
-3.00600139768932,2.0
1.898242702390692,1.0
-1.9563687013520346,2.0
-3.9440501010710864,2.0
1.8049284025555874,1.0
1.3433489028328993,1.0
-4.259617813032691,2.0
-3.550084653640216,2.0
-3.6228194831355234,2.0
-3.116118090076659,2.0
-3.904805121452798,2.0
-0.8751615828624315,1.0
-4.091898712751071,2.0
-2.598807015951532,2.0
3.749472592947343,1.0
-3.7134513464925525,2.0
0.8483982727408987,1.0
3.2305918712099384,1.0
-4.2484042290120625,2.0
-4.06591157167027,2.0
2.773470761133646,1.0
1.8953602894806894,1.0
2.4588556120175236,1.0
-1.5142385898266997,2.0
-0.5583808084974462,2.0
1.5309932795307508,1.0
-5.77137815649188,2.0
-3.89380444054099,2.0
1.2726261861978991,1.0
0.7657928968474039,1.0
4.420137802344582,1.0
-0.20833921090816832,1.0
-3.3979648313726942,2.0
-2.9375737524152665,2.0
-2.313691915140936,2.0
3.4522025232433955,1.0
-3.907929495489743,2.0
0.45903167775348885,1.0
-2.77765069060186,2.0
-3.7929227759504416,2.0
-5.097856488795054,2.0
-5.428756865698442,2.0
-2.779708523699015,2.0
0.8650434400063216,1.0
-1.3470609903713058,2.0
1.2717397511267414,1.0
5.449298550811998,1.0
-4.1057441937885555,2.0
-2.2799147158558646,2.0
-2.4356890442447425,2.0
1.4733173941328142,1.0
-4.410599476829763,2.0
-1.7726505402608712,2.0
-5.344425811761387,2.0
-3.7059000003996307,2.0
3.845983467653297,1.0
-5.629497611626541,2.0
-5.253804065167406,2.0
-2.827327361383268,2.0
-0.47007927100044733,1.0
0.13419640107677666,1.0
1.9924686873941257,1.0
-3.107887949508968,2.0
-2.9392552614380136,2.0
3.513910483094543,1.0
-1.0474647228894427,1.0
-3.3161580064317686,2.0
0.8318671556681245,1.0
-2.4883231285211695,2.0
-2.836182655243464,2.0
-2.495592100483428,2.0
-3.881747748499915,2.0
-4.4609868044244205,2.0
1.4885993862159714,1.0
0.3871114629349366,1.0
-0.9283323616781565,2.0
-2.7475427986454206,2.0
-3.4720384049100517,2.0
7.165042003869438,1.0
-0.14182548375193615,1.0
-4.782358551443862,2.0
5.4904617972008545,1.0
3.3237574702387005,1.0
-3.8533116225894,2.0
5.994489675214531,1.0
-4.705798512424085,2.0
-3.7959424836531843,2.0
3.6281310348992304,1.0
-1.5696255674299642,2.0
-5.052254530003686,2.0
-2.719143221421075,2.0
-2.732141786903701,2.0
-3.3638409835578162,2.0
-3.6408245958348546,2.0
-1.6263164859608958,2.0
-4.524585730301871,2.0
-5.051062862716847,2.0
-3.3979934600027084,2.0
-4.009990335206917,2.0
4.503346306299948,1.0
4.681498620133462,1.0
-0.178536285328331,1.0
-4.431796354834315,2.0
2.691548863099447,1.0
-2.1162114354187995,2.0
0.2888266760580791,1.0
-1.521947889752776,2.0
-2.583617080601151,2.0
-4.5387099717820565,2.0
-2.1474045761101834,2.0
-1.967445884071581,1.0
-1.1046360661382306,2.0
-5.126955936879025,2.0
-4.1414185129873005,2.0
-1.0970368027807986,2.0
-2.649066681806379,2.0
-4.3366027133896035,2.0
-4.2969513523184455,2.0
-2.482744980674674,2.0
-2.1945666035991374,2.0
-2.293724311162114,2.0
5.187010374084466,1.0
-4.079695300872553,2.0
2.4329041790555648,1.0
-4.292889717739166,2.0
-4.616842139614132,2.0
3.4681787631576935,1.0
2.578898393798064,1.0
3.7039160040164725,1.0
-3.780278801189927,2.0
-4.256311078161298,2.0
-6.464689102106622,2.0
2.039158323997919,1.0
-4.385537074471456,2.0
-3.644265007049574,2.0
-3.303239482818933,2.0
-1.870682324025188,2.0
-2.3565598636369844,1.0
-1.763862204513741,2.0
-2.9956929437293,2.0
-3.8930787482781932,2.0
-4.827950781659995,2.0
-5.1243009569213305,2.0
-1.9767936963148445,2.0
-4.1454069838724985,2.0
4.349936090885311,1.0
-3.272371853332306,2.0
5.721475891080037,1.0
6.39292893295946,1.0
1.1921423072844162,1.0
1.539048705091383,1.0
-3.9191634859331215,2.0
-5.04763094193383,2.0
-4.768518833712657,2.0
-3.1279763025301346,2.0
-3.9237546696381704,2.0
0.7026998173411969,1.0
-2.671430749056292,2.0
1.6934921192716477,1.0
3.225705777327759,1.0
-1.7304030225112719,2.0
-4.112629741582362,2.0
-3.741588768969919,2.0
1.5564816217025443,1.0
0.017174327457958327,1.0
1.7865084043889565,1.0
-3.607887499093878,2.0
-4.299352180623878,2.0
-4.963660183051558,2.0
-3.9290132368769037,2.0
1.7641385702599393,1.0
-4.902020921330532,2.0
-2.1690190795704964,2.0
-1.7274639053489964,1.0
2.9074210880405884,1.0
1.2257991417298666,1.0
-4.838452930126771,2.0
-2.7338926437613713,2.0
1.5344541237195228,1.0
-3.1158861668446165,2.0
-4.051497485628115,2.0
-4.676303285157022,2.0
-4.164956267573654,2.0
-4.97259073053099,2.0
-4.60330157887548,2.0
-0.7558592707129583,1.0
-2.4940792212042604,2.0
-4.031645712540168,2.0
3.2933451460579213,1.0
-3.2510272973711993,2.0
-3.2661468875873276,2.0
-2.826754556005829,2.0
0.40106234434740395,1.0
-2.216552392717929,2.0
-1.1364372188384961,2.0
-2.816327122398533,2.0
-2.78883109167267,2.0
-3.9057182993895565,2.0
4.474577271989352,1.0
3.40534350617678,1.0
-3.2871155195634847,2.0
-4.637658769350546,2.0
-4.4271112724197215,2.0
-4.20265405792476,2.0
-3.0814904724970713,2.0
0.2881758014122098,1.0
0.6719255423346691,1.0
-6.568161889442717,2.0
3.4601606511106544,1.0
5.282020500861752,1.0
2.6174073053069526,1.0
-4.036641081268447,2.0
-4.582837895846126,2.0
2.3478792578762073,1.0
1.0865331381424486,1.0
3.496863474794425,1.0
-2.0893506864101488,2.0
-0.16243927690797033,1.0
2.64846132185768,1.0
3.4010712228525155,1.0
-0.04547200251367256,1.0
-3.80992078553577,2.0
-4.9323263910287185,2.0
-5.514590856616369,2.0
-1.7959273190793446,2.0
-2.41617721069741,2.0
2.6892679935071317,1.0
6.052856520440151,1.0
5.268377685239561,1.0
-2.4086291442618633,2.0
-2.5478843843157835,2.0
-3.954108595859961,2.0
1.357244247124426,1.0
-2.979168257618821,2.0
1.1278060212057381,1.0
3.2942345871902647,1.0
-4.582024462815156,2.0
-1.6897827082749757,2.0
1.6589515785164877,1.0
-6.373647269674371,2.0
1.9622659363756714,1.0
-3.8832787097165946,2.0
-1.4285230057525893,2.0
-3.6858937062188564,2.0
6.570548108712626,1.0
4.597736320773852,1.0
0.6963286392553258,1.0
