line_Treat 0,line_Treat 1,line_Treat 2,bin_Treat 0,bin_Treat 1,bin_Treat 2
0.5109447283228296,0.3266082915796918,0.3653139007185084,0.1502317821067821,0.14399325396825388,0.14187420634920633
0.9832742530011864,0.7644240730462393,0.8070753130011243,0.17170895416312082,0.16741907166907158,0.164738379028379
1.7094968756116853,1.5514754217585849,1.5668677917397367,0.19318612621945955,0.19084488936988928,0.1876025517075517
2.685065317190401,2.7306047408937437,2.6731360847809755,0.21466329827579828,0.21427070707070694,0.2104667243867244
3.8100817819246653,4.167505438028528,4.007561618873413,0.23614047033213703,0.23769652477152464,0.23333089706589707
4.884348461557755,5.515652615158295,5.279706415825981,0.25761764238847573,0.26112234247234234,0.2561950697450698
5.656813774055003,6.33025247469835,6.112371806636252,0.2790948144448145,0.28454816017316004,0.27905924242424246
5.918750360882627,6.300116101385292,6.218421825166638,0.30057198650115324,0.30797397787397773,0.30192341510341514
5.5947548744838835,5.437252096869372,5.559311626718583,0.32204915855749194,0.33139979557479543,0.3247875877825878
4.777767404980716,4.069244463455556,4.367493669255103,0.34352633061383064,0.3548256132756131,0.3476517604617605
3.6860552674556986,2.640897153119856,3.0151850715005795,0.3650035026701694,0.3782514309764308,0.3705159331409332
2.5691625413765675,1.4862524750809138,1.82922062388185,0.38648067472650816,0.4016772486772485,0.39338010582010585
1.6177604709898978,0.7253324186423316,0.9751886305399032,0.40795784678284686,0.42510306637806616,0.4162442784992786
0.9203007099193787,0.306962258608469,0.4568583788623922,0.42943501883918556,0.4485288840788839,0.43910845117845126
0.4729750088539008,0.112651316144538,0.18808102562983284,0.45091219089552437,0.47195470177970156,0.46197262385762394
0.2196036379649245,0.0358501480743778,0.06804227085514543,0.47238936295186307,0.49538051948051925,0.4848367965367966
0.092115723214985,,,0.49386653500820177,,
0.034907673187017686,,,0.5153437070645406,,
0.011950908903017225,,,0.5368208791208793,,
